Paper ID,Authors,Year,Title,MWP Technique,Traditional tests,AU raw,TC MWP Relevance,App Score,App Evidence,Meth Score,Meth Evidence,SigProc Score,SigProc Types,PropC Score,Property Types,Raw Property,IdM Score,Id Methods,Raw IdM,DA Score,Rheo Score,Rheo Models,Rheo Purpose,Reviewer Support,ABK,ABL,Primary,Secondary,Tie-break Used?,Tie-break Reason,Confidence,Rationale,Materials,Geometries
P27,"McGovern, M.E. and Buttlar, W.G. and Reis, H.",2014,Characterisation of oxidative ageing in asphalt concrete using a non-collinear ultrasonic wave mixing approach,UT,None reported,Ultrasonic testing (UT),High,1,multiple material types (5),2,central frequency (UT); configuration (UT); transducer type (UT); wave type (UT),1,FFT,0,wave velocity,"P-waves/S-waves velocities, non-linear wave generation parameter",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,1,Wave polarization,Not reported,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Disc
P03,"Boz, I. and Solaimanian, M.",2019,A practical approach to determine asphalt concrete material properties based on non-destructive testing,IR,None reported,Impact resonance test (IRT),Medium,1,multiple material types (4),3,excitation source (IR); sensors (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR),1,Described (unclassified),0,resonant frequency,No direct mechanical property was determined in this paper. The extracted response was resonant frequency,1,direct analytical / empirical equation,empirical / regression-based prediction of resonant frequency.,1,0,None,Not reported,2,The study proposes a practical shifted polynomial approach to estimate the temperature-dependent impact resonance frequency of asphalt concrete specimens using a reduced number of IR measurements. It shows that resonant frequency decreases with increasing temperature and that a reference-temperature correction can improve prediction accuracy.,"This paper is useful for comparison with studies focused on temperature effects in IR testing and on simplified prediction of resonant frequency. However, it is less directly comparable with studies that derive complex modulus, phase angle, or master curves from MWP/IR/UT data, because this study does not perform rheological modeling or validation against conventional modulus tests.",Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=3, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P128,"Ryden, N.",2010,Resonant frequency testing of cylindrical asphalt samples,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); temperature effects (multiple temperatures),2,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); temperature (IR),1,FFT,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"Development of an IRT approach for the LVE characterization based on 2 vibration modes (flexural and longitudinal)
The paper demonstrates that IRT can be used to estimate the complex modulus of bituminous mixtures
Use of lookup tables (Martincek 1965) to link measured resonance frequencies to mechanical properties
Construction of master curves 
Validation of the method through comparison with conventional IDT tests showing generally good agreement in intermediate temperature ranges",Not reported,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=2 (SigProc=1, PropC=2, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P16,"Ye, Feilong and Ding, Xunhao and Ma, Tao and Ye, Zhongyun and Su, Zhizhou and Zhang, Shunquan",2025,Application research of epoxy resin mortar composite encapsulated piezoelectric ultrasonic sensors in monitoring dynamic modulus of asphalt concrete,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",Low,2,conventional-test comparison (Complex modulus (E*)); multiple material types (3); additives/modifiers,2,central frequency (UT); configuration (UT); temperature (UT); transducer type (UT),0,Not described,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Not specified (First arrival wave identification),2,0,None,Not reported,2,"Development of an ultrasonic-based method to estimate the complex modulus using embedded piezoeletric sensors, time-of-flight measurements, and an empirical correction factor (λ) linking the modulus obtainf by the ultrasonic method to the one obtained through the conventional method",The study presents an interesting proof-of-concept for ultrasonic-based estimation of asphalt dynamic modulus but the methodology lacks detailed signal processing description and standardized testing protocol,Testing Methodology Focus,Data Analysis Type,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Testing Methodology Focus,Medium,"App=2, Meth=2, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder
P04,"Veeraragavan, R.K. and Nivedya, M.K. and Mallick, R.B.",2019,Accurate identification of pavement materials that are susceptible to moisture damage with the use of advanced conditioning and test methods and the use of machine learning techniques,UT,"Moisture sensitivity, MiST conditioning process","Ultrasonic testing (UT), Moisture sensitivity, MiST conditioning process",Low,3,"conventional-test comparison (Moisture sensitivity, MiST conditioning process); multiple material types (5); moisture/conditioning; cracking/damage",2,configuration (UT); standard/reference (UT); temperature (UT); wave type (UT); methodological comment (UT),0,Not described,1,seismic modulus,seismic modulus,1,Domain reported only,No information available | No information available,1,0,None,Not reported,1,Assessment of the effect of water on the modulus in non-destructive testing - samples after conditioning are characterized by a lower modulus.,Not reported,Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=0, PropC=1, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P71,"Grilli, A. and Bocci, M. and Tarantino, A.M.",2013,Experimental investigation on fibre-reinforced cement-treated materials using reclaimed asphalt,UT,3-Point Bending Test (3-PBT),"Ultrasonic testing (UT), 3-Point Bending Test (3-PBT)",Medium,2,conventional-test comparison (3-Point Bending Test (3-PBT)); multiple material types (5); RAP/RAS or recycled materials,2,standard/reference (UT); temperature (UT); wave type (UT); methodological comment (UT),0,Not described,2,"|E*| / dynamic modulus, wave velocity","P-waves/S-waves velocities, dynamic modulus of elasticity",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,"This study is partially relevant, as it uses ultrasonic pulse velocity to estimate elastic modulus and evaluate damage in cement-treated materials, but it does not focus on bituminous mixtures and mechanical and rheological characterization using ultrasonic testing. Nevertheless, the article is interesting in demonstrating the potential of non-destructive testing to assess damage evolution by comparing results before and after mechanical loading (3-PBT). However, no detailed recommendations are provided for UT, as the method follows a standard procedure without further discussion. The main conclusions relate to material composition, showing that the use of polypropylene fibres and reclaimed asphalt improves performance, with the best results obtained for mixtures with 80% RA and 4 kg/m³ of fibres.",The lack of detailed information on signal processing and testing parameters may limit direct comparison with studies that apply more advanced ultrasonic or frequency-based analysis methods.,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Cement-treated or hybrid material,Slab / plate
P130,"Ramadan, K.Z. and Haddad, R.H.",2017,Self-healing of overloaded self-compacting concrete of rigid pavement,UT,Compressive strength test; stress–strain response and modulus of elasticity measurement,"Ultrasonic testing (UT), Compressive strength test; stress–strain response and modulus of elasticity measurement",Low,2,conventional-test comparison (Compressive strength test; stress–strain response and modulus of elasticity measurement); cracking/damage,2,configuration (UT); standard/reference (UT); transducer type (UT); wave type (UT); methodological comment (UT),1,Described (unclassified),0,wave velocity,"P-waves/S-waves velocities, Damage index based on ultrasonic pulse velocity (UPV)",1,direct analytical / empirical equation,Empirical interpretation of UPV through a damage index | Direct transit-time measurement according to ASTM C597,1,0,None,Not reported,2,"This study provides a comprehensive experimental evaluation of self-healing in self-compacting concrete subjected to controlled overloading, demonstrating that ultrasonic pulse velocity can be effectively used as a nondestructive indicator of internal damage, crack filling, and mechanical property recovery. The work establishes strong empirical correlations between UPV-based damage/recovery indices and residual compressive strength and modulus of elasticity, offering quantitative insight into self-healing mechanisms in rigid pavement concrete.","Compared with other studies that use ultrasonic testing primarily to estimate elastic properties, this work emphasizes a damage-based interpretation of UPV to quantify self-healing efficiency. The proposed damage and recovery indices provide a useful framework for comparing nondestructive indicators with mechanical recovery, particularly under high stress levels, and complement findings from self-healing research on conventional and engineered cementitious composites.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Cement-treated or hybrid material,Cylinder
P114,"Chan, S and Chen, Si and Gumisiriza, G and Lee, S and Transportation Association of Canada",2023,Performance Comparison of CIR and CIREAM in Ontario,UT,"Moisture sensitivity, Falling Weight Deflectometer (FWD) testing; Resilient modulus testing; Indirect Tensile Strength (ITS); Pavement condition monitoring (ARAN: IRI, rutting, cracking, PCI/DMI)","Ultrasonic testing (UT), Moisture sensitivity, Falling Weight Deflectometer (FWD) testing; Resilient modulus testing; Indirect Tensile Strength (ITS); Pavement condition monitoring (ARAN: IRI, rutting, cracking, PCI/DMI)",Medium,2,"conventional-test comparison (Moisture sensitivity, Falling Weight Deflectometer (FWD) testing; Resilient modulus testing; Indirect Tensile Strength (ITS); Pavement condition monitoring (ARAN: IRI, rutting); multiple material types (2); RAP/RAS or recycled materials",2,configuration (UT); standard/reference (UT); transducer type (UT); wave type (UT); methodological comment (UT),1,Described (unclassified),0,wave velocity,"P-waves/S-waves velocities, Relative material quality based on peak-to-peak wave amplitude",1,Domain reported only,Qualitative interpretation of ultrasonic wave characteristics (peak-to-peak amplitude) | Time of flight not explicitly determined; waveform peak-to-peak amplitude used for qualitative comparison,1,0,None,Not reported,2,"This study provides a unique long-term (20-year) performance comparison of cold in-place recycled asphalt mixtures using emulsion (CIR) and foamed asphalt (CIREAM), integrating laboratory testing, field structural evaluation, and in-situ nondestructive assessment. The inclusion of ultrasonic pulse velocity testing demonstrates the potential of MWP methods as qualitative indicators of material quality and aggregate–binder bonding in cold recycled pavement layers.","Unlike many MWP-focused studies that aim to derive quantitative stiffness or viscoelastic properties, this work applies UPV qualitatively and validates its indications using resilient modulus, ITS, and long-term field performance data. The strong agreement between UPV trends and conventional mechanical and pavement condition metrics highlights the suitability of MWP methods for screening and comparative evaluation of recycled pavements rather than direct modulus prediction.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Cold mixture / emulsion-treated material,Cylinder; In situ / pavement
P98,"Karati, Sukanta and Roy, Tapas Kumar",2022,Moisture damage potential of Reclaimed Asphalt Pavement (RAP) in bituminous mixes by ultrasonic pulse velocity,UT,"Moisture sensitivity, Marshall stability and volumetric analysis; Modified Marshall immersion test; Indirect tensile strength (ITS) test","Ultrasonic testing (UT), Moisture sensitivity, Marshall stability and volumetric analysis; Modified Marshall immersion test; Indirect tensile strength (ITS) test",High,3,"conventional-test comparison (Moisture sensitivity, Marshall stability and volumetric analysis; Modified Marshall immersion test; Indirect tensile strength (ITS) test); RAP/RAS or recycled materials; aging; moisture/conditioning; cracking/damage",3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,2,"|E*| / dynamic modulus, wave velocity","P-waves/S-waves velocities, Dynamic modulus (estimated from UPV)",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Direct transit-time measurement using UPV PUNDIT Lab device,2,0,None,Not reported,2,"The study demonstrates the effectiveness of ultrasonic pulse velocity as a non-destructive laboratory method to quantify moisture-induced damage and estimate dynamic modulus in RAP-modified bituminous concrete. By validating UPV-derived dynamic modulus against ITS and TSR results, the work shows that MWP tests can reliably identify optimal RAP content and track stiffness degradation under prolonged moisture conditioning.","Compared with other MWP-based studies that focus on direct complex modulus testing or viscoelastic master curves, this work emphasizes UPV as a practical surrogate for stiffness evaluation under moisture damage scenarios. The strong agreement between UPV-derived dynamic modulus and ITS/TSR reinforces findings from prior asphalt MWP research, while the systematic investigation of RAP content and immersion duration provides valuable insight into moisture sensitivity trends in recycled asphalt mixtures.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P82,"Al-Mufti, Rafal L. and Fried, Anton N.",2017,Improving the strength properties of recycled asphalt aggregate concrete,UT,Compressive strength test; Rebound hammer test (rebound number),"Ultrasonic testing (UT), Compressive strength test; Rebound hammer test (rebound number)",Low,2,conventional-test comparison (Compressive strength test; Rebound hammer test (rebound number)); multiple material types (2); RAP/RAS or recycled materials,3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Direct transit-time measurement using PUNDIT ultrasonic pulse velocity device,1,0,None,Not reported,2,"The study demonstrates how ultrasonic pulse velocity and rebound hammer testing can be used as non-destructive indicators to assess changes in concrete quality caused by the inclusion of recycled asphalt aggregate and by aggregate surface treatments. It highlights the sensitivity of UPV to aggregate–paste bonding and surface porosity, and shows that strength improvements achieved by mechanical roughening may not always be reflected by increased ultrasonic pulse velocity.","Unlike most MWP-related studies that focus on asphalt mixtures and viscoelastic material behavior, this work applies UPV to cement-based concrete containing recycled asphalt aggregate. The findings emphasize attenuation and scattering effects caused by aggregate surface condition, contrasting with studies that directly correlate wave velocity with stiffness or modulus. This highlights the need for caution when extending MWP interpretations across different material classes.",Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Cement-treated or hybrid material,Prism / beam
P66,"Elhafeez, T.A. and Amer, R. and Saad, A. and Kady, H.E. and Madi, M.",2014,Evaluation of Flexible Pavement Mixtures Using Conventional Tests and Ultrasonic Wave Propagation,UT,"Rutting test, Marshall mix design and stability test; Indirect tensile strength (ITS); Draindown test; Loaded wheel tracking test","Ultrasonic testing (UT), Rutting test, Marshall mix design and stability test; Indirect tensile strength (ITS); Draindown test; Loaded wheel tracking test",Medium,3,"conventional-test comparison (Rutting test, Marshall mix design and stability test; Indirect tensile strength (ITS); Draindown test; Loaded wheel tracking test); multiple material types (2); RAP/RAS or recycled materials; additives/modifiers",2,central frequency (UT); configuration (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,2,"Poisson’s ratio, Young’s/elastic modulus, shear modulus, wave velocity","Poisson’s ratio, P-waves/S-waves velocities, Elastic modulus (E), shear modulus (G), and bulk modulus (K)",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Direct travel-time measurement using ultrasonic velocity meter,2,0,None,Not reported,2,"The study demonstrates the applicability of ultrasonic wave propagation as a non-destructive laboratory tool to rank asphalt mixtures in terms of stiffness and performance-related characteristics. By comparing ultrasonic-derived elastic parameters with indirect tensile strength and rutting resistance results, the work shows that small-strain ultrasonic measurements can capture consistent trends in mixture quality related to aggregate gradation and binder modification.","Compared with other MWP-based studies, this work focuses on direct elastic parameter estimation from ultrasonic wave velocities rather than viscoelastic modeling or master-curve construction. The comparisons with conventional tests are mainly qualitative and trend-based, which contrasts with studies that attempt quantitative modulus equivalence or frequency–temperature dependency. This makes the study particularly relevant for mixture screening and quality assessment rather than full mechanical characterization.",Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=2 (SigProc=0, PropC=2, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Slab / plate
P23,"Mun, S. and Lee, S.-J.",2015,Bayesian method to determine the dynamic material characteristics of hot-mix asphalt,IR,indirect tension (IDT),"Impact resonance test (IRT), indirect tension (IDT)",Medium,2,conventional-test comparison (indirect tension (IDT)); multiple material types (3); additives/modifiers,2,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); temperature (IR); methodological comment (IR),1,FFT,0,Other output (see raw),dynamic moduli,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"- The main contribution lies in combining IRT with probabilistic modeling (Bayesian method), allowing discrete resonance measurements to be extended over a wide frequency range. 
- The approach also shows good agreement with IDT results, supporting the potential of IR. 
- A sigmoidal function was used to describe the master curve, and its parameters were calibrated using a Bayesian approach based on IRT data, allowing both fitting of measured points and prediction over a wider frequency range.
Main limitations from the reader's point of view: 
- The conventional test (IDT) is not described in detail in the study and is only used as a reference method for comparison with IR results.
- In addition, the lack of detailed information on materials, specimens and testing conditions (mainly IDT) limits reproducibility of the method proposed. 
- The method is dependent on modeling assumptions, particularly the sigmoidal fitting and predefined shift factor, which can significantly influence the results",Not reported,Testing Methodology Focus,Application Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=2, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder
P50,"Mun, S.",2015,Determining the Dynamic Modulus of a Viscoelastic Asphalt Mixture Using an Impact Resonance Test with Damping Effect,IR,Indirect tension test (IDT) with temperature and frequency sweep,"Impact resonance test (IRT), Indirect tension test (IDT) with temperature and frequency sweep",High,2,conventional-test comparison (Indirect tension test (IDT) with temperature and frequency sweep); temperature effects (multiple temperatures),2,excitation source (IR); sensors (IR); vibration modes (IR); temperature (IR); methodological comment (IR),2,"FRF, coherence, modal analysis, FFT, weighting functions",3,"|E*| / dynamic modulus, phase angle","Norm of the complex modulus, Phase angle of the complex modulus",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"The study introduces and validates an impact resonance–based nondestructive method for determining the dynamic (complex) modulus of asphalt mixtures, explicitly accounting for damping effects. By combining resonance analysis, empirical shift factors, and sigmoidal master curve modeling, the work demonstrates that impact resonance testing can provide dynamic modulus values statistically equivalent to those obtained from conventional indirect tension tests.","Compared with other MWP-based studies, this work is notable for explicitly incorporating damping into the analytical resonance formulation and for quantitatively validating impact resonance–derived moduli against IDT complex modulus data using statistical tests. Unlike studies relying solely on frequency response matching or numerical inversion, this approach combines closed-form solutions, empirical TTSP, and sigmoidal master curve fitting, facilitating direct comparison with standard laboratory dynamic modulus characterization methods.",Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Data Analysis Type,Medium,"App=2, Meth=2, DA=2 (SigProc=2, PropC=3, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Data Analysis Type.",Hot Mixture Asphalt (HMA),Cylinder
P34,"Grilli, Andrea and Graziani, Andrea and Bocci, Maurizio",2012,Compactability and thermal sensitivity of cement–bitumen-treated materials,UT,Indirect Tensile Stiffness Modulus (ITSM); Indirect Tensile Test (ITT); Proctor compaction; Shear Gyratory Compactor (SGC),"Ultrasonic testing (UT), Indirect Tensile Stiffness Modulus (ITSM); Indirect Tensile Test (ITT); Proctor compaction; Shear Gyratory Compactor (SGC)",Medium,3,conventional-test comparison (Indirect Tensile Stiffness Modulus (ITSM); Indirect Tensile Test (ITT); Proctor compaction; Shear Gyratory Compactor (SGC)); RAP/RAS or recycled materials; additives/modifiers; temperature effects (multiple temperatures),3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,1,"Young’s/elastic modulus, wave velocity","P-waves/S-waves velocities, Elastic (Young’s) modulus derived from ultrasonic pulse velocity",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Direct time-of-flight measurement between transmitting and receiving transducers,1,2,Log-linear temperature–stiffness relationship (log S = −α·T + b),Evaluation and quantification of temperature sensitivity of stiffness modulus,2,"The study demonstrates that ultrasonic pulse velocity can be used as a rapid, non-destructive method to estimate stiffness and thermal sensitivity of cement–bitumen-treated materials, providing results consistent with indirect tensile stiffness modulus when differences in strain level and loading frequency are considered. It also clarifies how bitumen dosage influences thermal sensitivity through an empirical temperature–stiffness relationship.","Unlike studies focused on viscoelastic master curve construction, this work evaluates temperature dependence directly through empirical stiffness–temperature modelling. The comparison between UPV and ITSM highlights the influence of strain level and frequency, which is useful when comparing MWP-based stiffness measurements with conventional traffic-relevant laboratory tests in recycled or hybrid pavement materials.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=1 (SigProc=0, PropC=1, IdM=1). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Cement-treated or hybrid material,Cylinder
P02,"du Tertre, Antonin and Kırlangıç, Ahmet Serhan and Cascante, Giovanni and Tighe, Susan L",2022,A non-destructive approach for the predictive master curve of ASPHALT pavements using ultrasonic and deflection methods,UT,"Complex modulus (E*), Light Weight Deflectometer (LWD) test","Ultrasonic testing (UT), Complex modulus (E*), Light Weight Deflectometer (LWD) test",High,1,"conventional-test comparison (Complex modulus (E*), Light Weight Deflectometer (LWD) test)",3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),2,"f-k / dispersion analysis, FFT, averaging",0,wave velocity,"P-waves/S-waves velocities, Rayleigh (surface) wave velocity and elastic (dynamic) modulus",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Manual identification of wave arrival based on first wave-front (slope of arrival-time vs. distance regression),1,2,Sigmoidal,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"The study demonstrates a combined non-destructive methodology using ultrasonic surface wave and light weight deflectometer tests to calibrate predictive dynamic modulus master curves of asphalt mixtures, enabling reliable estimation of design modulus without the need for laboratory dynamic modulus testing.","Unlike many previous studies that validate MWP methods against laboratory dynamic modulus tests, this work focuses on calibrating predictive master curves using non-destructive laboratory slab and field measurements. The study highlights consistent underestimation by predictive models and shows strong agreement between high-frequency ultrasonic and low-frequency deflection-derived moduli when appropriately shifted using TTSP, which is useful for comparison with both laboratory- and field-based MWP investigations.",Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=3, DA=1 (SigProc=2, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),In situ / pavement; Prism / beam
P33,"Solaimanian, M. and Boz, I.",2014,Characterizing RAP binder properties through impact resonance testing of asphalt mixtures,IR,DSR on the virgin binders at 10 ºC,"Impact resonance test (IRT), DSR on the virgin binders at 10 ºC",High,3,conventional-test comparison (DSR on the virgin binders at 10 ºC); multiple material types (3); RAP/RAS or recycled materials; temperature effects (multiple temperatures),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,2,damping,The analysis focus exclusively on the resonance frequencies and damping determined with tne half-power bandwidth method.,2,detailed signal-based (FRF/modal/peak-based),The half-power bandwidth method was used to determine the damping.,2,0,None,Not reported,2,This study demonstrate the excellent repeatability and very low variability of IR tests to determine resonance frequencies. It also shows that IR tests can properly differentiate and rank PG binders and RAP binder based on the resonance frequencies. Another interesting finding is that a strong correlation was found between the resonance frequencies and the complex modulus of the tested binders in DSR.,"The aspect ratios (L/D) of the specimens range from 1.2 to 2. Authors report that in other studies, they demonstrated that such aspect ratios are suitable to perform IRT.",Testing Methodology Focus,Application Focus,Yes,Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=3, Meth=3, DA=2 (SigProc=1, PropC=2, IdM=2). Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder
P01,"Sadeghi, Peyman and Karimi, Amirhossein and Torbatifard, Shadan and Goli, Ahmad",2024,"A comprehensive evaluation of damping, vibration, and dynamic modulus in reclaimed asphalt pavement: The role of rejuvenators, polymer, temperature, and aging",IR,None reported,Impact resonance test (IRT),Medium,3,RAP/RAS or recycled materials; additives/modifiers; aging; density/air-void evaluation,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, damping","Norm of the complex modulus, Damping ratio",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,"IRT can be used to evaluate the influence of RAP, additives such as rejuvenators,  and recycled materials on the dynamic modulus and damping.",IRT is the only test that was performed in this study.,Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=1). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P139,"Zhang, Lei and Li, Tian-shuai and Tan, Yi-qiu",2016,The potential of using impact resonance test method evaluating the anti-freeze-thaw performance of asphalt mixture,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",Medium,2,conventional-test comparison (Complex modulus (E*)); multiple material types (5); moisture/conditioning,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,"Sigmoidal, no references","Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,effect of freeze thaw cycle and correlation with TSR,not deep,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=2, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc
P153,"Boz, I. and Bekiroglu, K. and Solaimanian, M. and Tavassoti-Kheiry, P. and Lagoa, C.",2017,Validation of Model Order Assumption and Noise Reduction Method for the Impact Resonance Testing of Asphalt Concrete,IR,None reported,Impact resonance test (IRT),High,0,No application evidence identified in the form,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); repetitions (IR); temperature (IR),1,FFT,2,"damping, resonant frequency",Resonant frequency + damping ratio,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Generalized Maxwell model,Needed to obtain the material's parameters (resonance frequency and damping),2,"Demonstrates that with the Hankel matrix method, IR asphalt concrete data can be improved, specially at high temperatures","It focuses on IR data improvement to obtain resonance frequencies and damping, rather about the IR test on asphalt itself.",Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=0, Meth=3, DA=2 (SigProc=1, PropC=2, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
